MagpieData avg_dev GSvolume_pa,max ionic char,MagpieData range Electronegativity,MagpieData range GSvolume_pa,MagpieData range CovalentRadius,tc_kelvin
11.68527551020408,0.8032113561415081,2.55,54.485,149.0,26.5
11.728214285714284,0.8032113561415081,2.55,54.485,149.0,19.0
12.00058673469388,0.8032113561415081,2.55,54.485,149.0,26.0
12.817704081632654,0.8032113561415081,2.55,54.485,149.0,23.0
13.907193877551022,0.8032113561415081,2.55,54.485,149.0,23.0
16.63091836734694,0.8032113561415081,2.55,54.485,149.0,11.0
11.53719387755102,0.7877573323062758,2.49,45.125,141.0,33.0
11.71405612244898,0.7877573323062758,2.49,45.125,141.0,36.0
11.89091836734694,0.7877573323062758,2.49,45.125,141.0,31.0
12.24464285714286,0.7877573323062758,2.49,45.125,141.0,33.0
12.998743736805269,0.8032113561415081,2.55,54.485,149.0,26.0
11.70674489795918,0.8032113561415081,2.55,54.485,149.0,27.0
11.620867346938777,0.8032113561415081,2.55,54.485,149.0,26.0
11.513520408163265,0.8032113561415081,2.55,54.485,149.0,27.0
13.911420118343196,0.8032113561415081,2.55,54.485,149.0,82.0
12.00058673469388,0.8032113561415081,2.55,54.485,149.0,29.025
11.71405612244898,0.7877573323062758,2.49,45.125,141.0,36.026666666666664
11.36033163265306,0.7877573323062758,2.49,45.125,141.0,14.8
11.53719387755102,0.7877573323062758,2.49,45.125,141.0,30.0
11.97934948979592,0.7877573323062758,2.49,45.125,141.0,35.5
12.0677806122449,0.7877573323062758,2.49,45.125,141.0,23.3
12.24464285714286,0.7877573323062758,2.49,45.125,141.0,18.2
12.421505102040816,0.7877573323062758,2.49,45.125,141.0,18.3
12.598367346938776,0.7877573323062758,2.49,45.125,141.0,18.3
11.80248724489796,0.7877573323062758,2.49,45.125,141.0,37.5
11.210178571428573,0.7742664595807831,2.44,28.665000000000003,141.0,20.0
18.227777777777774,0.8032113561415081,2.55,54.485,149.0,90.83333333333331
16.444444444444443,0.8032113561415081,2.55,54.485,149.0,92.0
18.51955555555556,0.8032113561415081,2.55,54.485,149.0,93.2
19.270888888888887,0.8032113561415081,2.55,54.485,149.0,94.4
20.022222222222226,0.8032113561415081,2.55,54.485,149.0,93.2
20.77355555555556,0.8032113561415081,2.55,54.485,149.0,80.5
15.975621301775153,0.8032113561415081,2.55,54.485,149.0,48.0
20.866734693877557,0.8032113561415081,2.55,54.485,149.0,91.43846153846154
14.949204152249138,0.8032113561415081,2.55,54.485,149.0,90.0
15.584375000000003,0.8032113561415081,2.55,54.485,149.0,92.0
16.980408163265306,0.8032113561415081,2.55,54.485,149.0,80.0
18.662444444444446,0.8032113561415081,2.55,54.485,149.0,85.0
13.805360000000002,0.8032113561415081,2.55,54.485,149.0,8.0
13.24088,0.8032113561415081,2.55,54.485,149.0,13.0
13.137200000000002,0.8032113561415081,2.55,54.485,149.0,91.0
13.0723466666624,0.8032113561415081,2.55,54.485,149.0,94.0
13.05336,0.8032113561415081,2.55,54.485,149.0,93.0
12.95032,0.8032113561415081,2.55,54.485,149.0,93.0
12.8332,0.8032113561415081,2.55,54.485,149.0,91.0
20.496942148760333,0.8032113561415081,2.55,54.485,149.0,18.0
21.00795918367347,0.8032113561415081,2.55,54.485,149.0,68.6
19.94950413223141,0.8032113561415081,2.55,54.485,149.0,40.0
14.280399999999997,0.8032113561415081,2.55,54.485,149.0,95.5
20.50625,0.8032113561415081,2.55,54.485,149.0,94.0
20.087755102040823,0.8032113561415081,2.55,54.485,149.0,88.0
12.921234957776315,0.8032113561415081,2.55,54.485,149.0,28.0
11.71405612244898,0.7877573323062758,2.49,45.125,141.0,36.266666666666666
12.421505102040816,0.7877573323062758,2.49,45.125,141.0,26.0
13.50584,0.8032113561415081,2.55,54.485,149.0,88.0
12.00058673469388,0.8032113561415081,2.55,54.485,149.0,28.0
11.71405612244898,0.7877573323062758,2.49,45.125,141.0,34.7
11.867979591836738,0.7877573323062758,2.49,45.125,141.0,21.0
11.889334693877553,0.7877573323062758,2.49,45.125,141.0,12.0
11.890820408163266,0.7877573323062758,2.49,45.125,141.0,22.0
11.891869247009144,0.7877573323062758,2.49,45.125,141.0,32.0
11.892306122448982,0.7877573323062758,2.49,45.125,141.0,30.0
11.894285714285711,0.7877573323062758,2.49,45.125,141.0,16.0
11.893979591836738,0.7877573323062758,2.49,45.125,141.0,21.0
11.888559183673468,0.7877573323062758,2.49,45.125,141.0,29.0
11.865969387755102,0.7877573323062758,2.49,45.125,141.0,36.0
11.848316326530613,0.7877573323062758,2.49,45.125,141.0,35.0
11.81607142857143,0.7877573323062758,2.49,45.125,141.0,32.0
11.791989795918369,0.7877573323062758,2.49,45.125,141.0,30.0
15.441041420118344,0.8032113561415081,2.55,54.485,149.0,51.0
15.442852071005918,0.8032113561415081,2.55,54.485,149.0,41.9
15.439592899408286,0.8032113561415081,2.55,54.485,149.0,86.6
15.4399550295858,0.8032113561415081,2.55,54.485,149.0,74.10000000000001
15.44067928994083,0.8032113561415081,2.55,54.485,149.0,66.825
15.43923076923077,0.8032113561415081,2.55,54.485,149.0,90.18623188405796
15.581383136094676,0.8032113561415081,2.55,54.485,149.0,89.5
15.444053254437872,0.8032113561415081,2.55,54.485,149.0,72.0
15.43923076923077,0.8032113561415081,2.55,54.485,149.0,92.0
15.43923076923077,0.8032113561415081,2.55,54.485,149.0,90.97058823529412
15.401952662721891,0.8032113561415081,2.55,54.485,149.0,94.5
14.478537414962249,0.8032113561415081,2.55,54.485,149.0,85.0
14.62986224489796,0.8032113561415081,2.55,54.485,149.0,90.5
15.228579881656806,0.8032113561415081,2.55,54.485,149.0,275.0
15.43923076923077,0.8032113561415081,2.55,54.485,149.0,89.79375
16.09830385015609,0.8032113561415081,2.55,54.485,149.0,77.3
12.90616,0.8032113561415081,2.55,54.485,149.0,69.0
13.39192,0.8032113561415081,2.55,54.485,149.0,84.3
8.734928395061726,0.8032113561415081,2.55,54.485,149.0,86.4
14.36344,0.8032113561415081,2.55,54.485,149.0,88.8
14.849200000000002,0.8032113561415081,2.55,54.485,149.0,73.6
15.33496,0.8032113561415081,2.55,54.485,149.0,62.5
